,계약년,주소,단지명,전용면적(㎡),면적라벨,거래금액(만원),m2당금액(만원)
278,2012,경기도 성사동 860,삼성래미안,132,3.0,51267,386
279,2012,경기도 성사동 860,삼성래미안,151,3.0,59292,391
280,2012,경기도 성사동 869,원당대림e-편한세상,59,1.0,26800,448
281,2012,경기도 성사동 869,원당대림e-편한세상,84,3.0,32081,378
282,2012,경기도 성사동 869,원당대림e-편한세상,112,3.0,42256,376
283,2012,경기도 성사동 869,원당대림e-편한세상,125,3.0,41350,329
284,2012,경기도 성사동 869,원당대림e-편한세상,141,3.0,73672,519
285,2012,경기도 성석동 1077,청원네이처빌,59,1.0,13991,233
286,2012,경기도 성석동 1077,청원네이처빌,79,2.0,17120,214
287,2012,경기도 식사동 1474,SKVIEW,84,3.0,25866,306
288,2012,경기도 식사동 1474,SKVIEW,121,3.0,34771,285
289,2012,경기도 식사동 1487,위시티일산자이1단지,84,3.0,49572,583
290,2012,경기도 식사동 1487,위시티일산자이1단지,134,3.0,62000,459
291,2012,경기도 식사동 1487,위시티일산자이1단지,137,3.0,66676,485
292,2012,경기도 식사동 1487,위시티일산자이1단지,162,3.0,78296,480
293,2012,경기도 식사동 1498,위시티일산자이2단지,108,3.0,55022,508
294,2012,경기도 식사동 1498,위시티일산자이2단지,115,3.0,59722,515
295,2012,경기도 식사동 1498,위시티일산자이2단지,123,3.0,65781,533
296,2012,경기도 식사동 1498,위시티일산자이2단지,130,3.0,64716,496
297,2012,경기도 식사동 1498,위시티일산자이2단지,134,3.0,65396,484
298,2012,경기도 식사동 1498,위시티일산자이2단지,162,3.0,79890,490
299,2012,경기도 식사동 1498,위시티일산자이2단지,163,3.0,88940,544
300,2012,경기도 식사동 1498,위시티일산자이2단지,209,3.0,104240,497
301,2012,경기도 식사동 1498,위시티일산자이2단지,238,3.0,117922,492
302,2012,경기도 식사동 1504,위시티일산자이4단지,108,3.0,52666,486
303,2012,경기도 식사동 1504,위시티일산자이4단지,133,3.0,67665,506
304,2012,경기도 식사동 1504,위시티일산자이4단지,134,3.0,63459,470
305,2012,경기도 식사동 1504,위시티일산자이4단지,137,3.0,68500,499
306,2012,경기도 식사동 1504,위시티일산자이4단지,162,3.0,81751,501
307,2012,경기도 식사동 1504,위시티일산자이4단지,176,3.0,92266,521
308,2012,경기도 식사동 1504,위시티일산자이4단지,210,3.0,102232,485
309,2012,경기도 식사동 1504,위시티일산자이4단지,240,3.0,119201,495
310,2012,경기도 식사동 1510,위시티블루밍3단지,101,3.0,52574,515
311,2012,경기도 식사동 1510,위시티블루밍3단지,122,3.0,64317,523
312,2012,경기도 식사동 1510,위시티블루밍3단지,123,3.0,65200,528
313,2012,경기도 식사동 1510,위시티블루밍3단지,145,3.0,76472,525
314,2012,경기도 식사동 1510,위시티블루밍3단지,174,3.0,87400,500
315,2012,경기도 식사동 1510,위시티블루밍3단지,241,3.0,159774,661
316,2012,경기도 식사동 1529,위시티일산자이주상복합,115,3.0,55681,480
317,2012,경기도 식사동 1529,위시티일산자이주상복합,117,3.0,56089,477
318,2012,경기도 식사동 1529,위시티일산자이주상복합,141,3.0,64861,456
319,2012,경기도 식사동 1529,위시티일산자이주상복합,142,3.0,68454,480
320,2012,경기도 식사동 1565,위시티블루밍5단지,101,3.0,53607,525
321,2012,경기도 식사동 1565,위시티블루밍5단지,122,3.0,63824,519
322,2012,경기도 식사동 1565,위시티블루밍5단지,123,3.0,65218,528
323,2012,경기도 식사동 1565,위시티블루밍5단지,154,3.0,76957,497
324,2012,경기도 식사동 910,은행마을2(동문),84,3.0,23112,273
325,2012,경기도 식사동 910,은행마을2(동문),128,3.0,30422,236
326,2012,경기도 신원동 600,신원마을고양삼송아이파크,100,3.0,41900,417
327,2012,경기도 신원동 600,신원마을고양삼송아이파크,116,3.0,53000,456
